Drug,Brand,Disease / Indication,Category,Target,Revenue ($B),Dose,Frequency,Duration,_ing,_rev_val
Sertraline Hydrochloride,SERTRALINE HYDROCHLORIDE,Psychiatric disorder,Psychiatric,SLC6A4,0.22,100MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),SERTRALINE HYDROCHLORIDE,224.42
Sevabertinib,HYRNUO,Cancer,Oncology,,,10MG oral,Once or twice daily,Long-term (until progression / disease control),SEVABERTINIB,0.0
Sevelamer Carbonate,RENVELA,Hypertension; Heart failure; Diabetic nephropathy,Metabolic,Unknown,0.11,800MG oral,Once or twice daily,Indefinite (lifelong maintenance),SEVELAMER CARBONATE,106.78
Sevelamer Hydrochloride,RENAGEL,Metabolic disorder,Metabolic,Phosphate sequestering agent,0.00,800MG oral,Once or twice daily,Indefinite (lifelong maintenance),SEVELAMER HYDROCHLORIDE,0.58
Sildenafil Citrate,REVATIO,Cardiovascular disease,Cardiovascular,PDE5A,0.12,100MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),SILDENAFIL CITRATE,122.23
Silodosin,SILODOSIN,Metabolic disorder,Metabolic,ADRA1A,0.00,4MG oral,Once or twice daily,Indefinite (lifelong maintenance),SILODOSIN,0.55
Simvastatin,FLOLIPID,Dyslipidemia; CV risk reduction,Metabolic,HMGCR,,40MG oral,Once or twice daily,Indefinite (lifelong maintenance),SIMVASTATIN,0.0
Siponimod,MAYZENT,Multiple sclerosis,Neurology,S1PR1,0.03,2MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),SIPONIMOD,33.87
Sirolimus,FYARRO,Transplant rejection; Oncology,Autoimmune,FKBP1A,0.07,2MG oral,Once or twice daily,Indefinite (lifelong maintenance),SIROLIMUS,73.42
Sitagliptin,ZITUVIO,Metabolic disorder,Metabolic,,,100MG oral,Once or twice daily,Indefinite (lifelong maintenance),SITAGLIPTIN,0.0
Sitagliptin Hydrochloride,BRYNOVIN,Metabolic disorder,Metabolic,,,25MG BASE/mL oral,Once or twice daily,Indefinite (lifelong maintenance),SITAGLIPTIN HYDROCHLORIDE,0.0
Sitagliptin Phosphate,JANUVIA,Type 2 diabetes,Metabolic,DPP4,1.39,100MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),SITAGLIPTIN PHOSPHATE,1387.99
Sodium Bicarbonate,SODIUM BICARBONATE,Hypertension; Heart failure; Diabetic nephropathy,Metabolic,,,50MEQ/50ML (1MEQ/mL) IV,As directed,Indefinite (lifelong maintenance),SODIUM BICARBONATE,0.0
Sodium Ferric Gluconate Complex,FERRLECIT,Metabolic disorder,Metabolic,Supplement,0.04,62.5MG IRON/5ML (12.5MG IRON/mL),As directed,Indefinite (lifelong maintenance),SODIUM FERRIC GLUCONATE COMPLEX,44.7
Sodium Polystyrene Sulfonate,KALEXATE,Metabolic disorder,Metabolic,Potassium sequestering agent,0.00,15GM/60ML oral,Once or twice daily,Indefinite (lifelong maintenance),SODIUM POLYSTYRENE SULFONATE,4.54
Sodium Zirconium Cyclosilicate,LOKELMA,Metabolic disorder,Metabolic,Potassium chelating agent,0.06,10GM/PACKET oral,Once or twice daily,Indefinite (lifelong maintenance),SODIUM ZIRCONIUM CYCLOSILICATE,57.55
Solifenacin Succinate,SOLIFENACIN SUCCINATE,Neurological disorder,Neurology,CHRM3 | CHRM2,,5MG oral,Once or twice daily,Indefinite (lifelong maintenance),SOLIFENACIN SUCCINATE,0.0
Solriamfetol Hydrochloride,SUNOSI,Psychiatric disorder,Psychiatric,Unknown,0.02,150MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),SOLRIAMFETOL HYDROCHLORIDE,20.82
Sonidegib Phosphate,ODOMZO,Cancer,Oncology,SMO,0.00,200MG BASE oral,Once or twice daily,Long-term (until progression / disease control),SONIDEGIB PHOSPHATE,4.43
Sorafenib Tosylate,NEXAVAR,Cancer,Oncology,RAF1 | PDGFRB | KIT | FLT3 | BRAF | FLT1 | RET,0.02,200MG BASE oral,Once or twice daily,Long-term (until progression / disease control),SORAFENIB TOSYLATE,19.28
Sotagliflozin,INPEFA,Type 2 diabetes; Heart failure; CKD,Metabolic,SLC5A1 | SLC5A2,0.00,400MG oral,Once or twice daily,Indefinite (lifelong maintenance),SOTAGLIFLOZIN,0.12
Sotalol Hydrochloride,BETAPACE,Asthma; COPD,Cardiovascular,ADRB1 | KCNH2 | ADRB2,0.01,160MG oral,Once or twice daily,Indefinite (lifelong maintenance),SOTALOL HYDROCHLORIDE,5.87
Spironolactone,ALDACTONE,Heart failure; Hypertension; Hyperaldosteronism,Cardiovascular,NR3C2,0.01,100MG oral,Once or twice daily,Indefinite (lifelong maintenance),SPIRONOLACTONE,13.37
Stiripentol,DIACOMIT,Neurological disorder,Neurology,Unknown,0.02,500MG/PACKET oral,Once or twice daily,Indefinite (lifelong maintenance),STIRIPENTOL,20.93
Sulfasalazine,AZULFIDINE,GI disorder,GI,ALOX5 | PTGS2,0.00,500MG oral,Once or twice daily,Indefinite (lifelong maintenance),SULFASALAZINE,0.0
Sunitinib Malate,SUNITINIB MALATE,Cancer,Oncology,CSF1R | KIT | FLT3 | PDGFRB | FLT1 | RET,0.00,50MG BASE oral,Once or twice daily,Long-term (until progression / disease control),SUNITINIB MALATE,4.98
Sunvozertinib,ZEGFROVY,Cancer,Oncology,,,200MG oral,Once or twice daily,Long-term (until progression / disease control),SUNVOZERTINIB,0.0
Tacrolimus,ASTAGRAF XL,Transplant rejection prevention; Autoimmune,Autoimmune,FKBP1A,0.14,4MG BASE oral,Once daily,Indefinite (lifelong maintenance),TACROLIMUS,135.83
Tadalafil,ADCIRCA,Cardiovascular disease,Cardiovascular,PDE5A,0.04,20MG oral,Once or twice daily,Indefinite (lifelong maintenance),TADALAFIL,40.2
Tafluprost,TAFLUPROST,Ophthalmic disorder,Ophthalmology,PTGFR,0.00,0.0015% ophthalmic,Once daily,Indefinite (lifelong maintenance),TAFLUPROST,1.51
Talazoparib Tosylate,TALZENNA,Cancer,Oncology,PARP2 | PARP1,0.00,1MG BASE oral,Once or twice daily,Long-term (until progression / disease control),TALAZOPARIB TOSYLATE,2.83
Tamoxifen Citrate,SOLTAMOX,Breast cancer (ER+); Osteoporosis,Oncology,ESR1,0.01,20MG BASE/10ML oral,Once or twice daily,Long-term (until progression / disease control),TAMOXIFEN CITRATE,5.84
Tamsulosin Hydrochloride,TAMSULOSIN HYDROCHLORIDE,Metabolic disorder,Metabolic,ADRA1A,0.05,0.4MG oral,Once or twice daily,Indefinite (lifelong maintenance),TAMSULOSIN HYDROCHLORIDE,50.66
Tapinarof,VTAMA,Hypertension; Heart failure; Diabetic nephropathy,Dermatology,AHR,0.03,1% topical,Once or twice daily,Indefinite (lifelong maintenance),TAPINAROF,33.66
Tazarotene,ARAZLO,Acne; Psoriasis; Photoageing,Dermatology,RARG,0.01,0.045% topical,Once or twice daily,Indefinite (lifelong maintenance),TAZAROTENE,14.41
Teduglutide,GATTEX KIT,Short bowel syndrome,Metabolic,GLP2R,,5MG/VIAL SC,Once daily,Indefinite (lifelong maintenance),TEDUGLUTIDE,0.0
Telmisartan,MICARDIS,Cardiovascular disease,Cardiovascular,AGTR1,0.00,40MG oral,Once or twice daily,Indefinite (lifelong maintenance),TELMISARTAN,0.06
Temozolomide,TEMODAR,Glioblastoma; Brain tumours,Oncology,DNA inhibitor,0.00,100MG/VIAL IV,Once daily,Long-term (until progression / disease control),TEMOZOLOMIDE,2.42
Temsirolimus,TEMSIROLIMUS,Transplant rejection; Oncology,Autoimmune,FKBP1A,0.00,25MG/mL (25MG/mL) IV,As directed,Indefinite (lifelong maintenance),TEMSIROLIMUS,0.04
Tenofovir Alafenamide Fumarate,TENOFOVIR ALAFENAMIDE,Infectious disease,Infectious,pol,0.22,25MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),TENOFOVIR ALAFENAMIDE FUMARATE,215.29
Tenofovir Disoproxil Fumarate,TENOFOVIR DISOPROXIL FUMARATE,Infectious disease,Infectious,pol,0.00,300MG oral,Once or twice daily,Indefinite (lifelong maintenance),TENOFOVIR DISOPROXIL FUMARATE,4.8
Tepotinib Hydrochloride,TEPMETKO,Cancer,Oncology,MET,0.00,225MG BASE oral,Once or twice daily,Long-term (until progression / disease control),TEPOTINIB HYDROCHLORIDE,0.52
Terazosin Hydrochloride,TERAZOSIN HYDROCHLORIDE,Cardiovascular disease,Cardiovascular,ADRA1A,0.00,1MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),TERAZOSIN HYDROCHLORIDE,2.89
Teriflunomide,AUBAGIO,Neurological disorder,Neurology,DHODH,0.16,14MG oral,Once or twice daily,Indefinite (lifelong maintenance),TERIFLUNOMIDE,160.46
Teriparatide,BONSITY,Osteoporosis,Metabolic,PTH1R,0.08,0.56MG/2.24ML (0.25MG/mL) SC,Weekly or monthly,Indefinite (lifelong maintenance),TERIPARATIDE,76.18
Testosterone,ANDROGEL,Metabolic disorder,Metabolic,AR,0.01,50MG/5GM PACKET transdermal,Once daily,Indefinite (lifelong maintenance),TESTOSTERONE,13.54
Testosterone Cypionate,AZMIRO,Metabolic disorder,Metabolic,AR,,200MG/mL (200MG/mL),As directed,Indefinite (lifelong maintenance),TESTOSTERONE CYPIONATE,0.0
Testosterone Enanthate,TESTOSTERONE ENANTHATE,Metabolic disorder,Metabolic,AR,,100MG/0.5ML (100MG/0.5ML) SC,Weekly or monthly,Indefinite (lifelong maintenance),TESTOSTERONE ENANTHATE,0.0
Testosterone Undecanoate,AVEED,Metabolic disorder,Metabolic,AR,0.00,750MG/3ML (250MG/mL),Monthly or quarterly,Indefinite (lifelong maintenance),TESTOSTERONE UNDECANOATE,4.19
Tetrabenazine,TETRABENAZINE,Neurological disorder,Neurology,SLC18A2,0.01,25MG oral,Once or twice daily,Indefinite (lifelong maintenance),TETRABENAZINE,7.95
Thalidomide,THALIDOMIDE,Multiple myeloma; Lenalidomide: MDS,Oncology,CRBN,0.00,200MG oral,Once or twice daily,Long-term (until progression / disease control),THALIDOMIDE,4.92
Theophylline,THEO-24,Psoriasis; Psoriatic arthritis,Respiratory,PDE4A | PDE3A | ADORA1,0.00,400MG oral,Once daily,Indefinite (lifelong maintenance),THEOPHYLLINE,1.89
Thiamine Hydrochloride,THIAMINE HYDROCHLORIDE,Metabolic disorder,Metabolic,Supplement,0.01,100MG/mL,As directed,Indefinite (lifelong maintenance),THIAMINE HYDROCHLORIDE,11.83
Thioridazine Hydrochloride,THIORIDAZINE HYDROCHLORIDE,Schizophrenia; Bipolar disorder; Nausea,Psychiatric,HTR2A | HTR2C | DRD2,,10MG oral,Once or twice daily,Indefinite (lifelong maintenance),THIORIDAZINE HYDROCHLORIDE,0.0
Thiothixene,THIOTHIXENE,Schizophrenia; Bipolar disorder; Nausea,Psychiatric,DRD2 | HTR2A,,1MG oral,Once or twice daily,Indefinite (lifelong maintenance),THIOTHIXENE,0.0
Tiagabine Hydrochloride,GABITRIL,Neurological disorder,Neurology,SLC6A1,0.00,16MG oral,Once or twice daily,Indefinite (lifelong maintenance),TIAGABINE HYDROCHLORIDE,3.72
Ticagrelor,BRILINTA,Cardiovascular disease,Cardiovascular,P2RY12,0.26,90MG oral,Once or twice daily,Indefinite (lifelong maintenance),TICAGRELOR,258.67
Timolol,BETIMOL,Asthma; COPD,Cardiovascular,ADRB1 | ADRB2,0.01,0.5% ophthalmic,Once daily,Indefinite (lifelong maintenance),TIMOLOL,12.08
Timolol Maleate,ISTALOL,Asthma; COPD,Cardiovascular,ADRB1 | ADRB2,0.00,0.5% BASE ophthalmic,Once daily,Indefinite (lifelong maintenance),TIMOLOL MALEATE,0.33
Tiotropium Bromide,SPIRIVA,Respiratory disease,Respiratory,CHRM3,1.08,0.0025MG BASE//inh inh,Twice daily,Indefinite (lifelong maintenance),TIOTROPIUM BROMIDE,1080.78
Tipranavir,APTIVUS,Infectious disease,Infectious,pol,0.00,250MG oral,Once or twice daily,Indefinite (lifelong maintenance),TIPRANAVIR,0.13
Tizanidine Hydrochloride,ONTRALFY,Neurological disorder,Neurology,ADRA2A,0.05,4MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),TIZANIDINE HYDROCHLORIDE,51.94
Tofacitinib Citrate,TOFACITINIB CITRATE,RA; Psoriatic arthritis; UC; Atopic dermatitis,Autoimmune,JAK3,0.54,10MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),TOFACITINIB CITRATE,543.93
Tolcapone,TASMAR,Neurological disorder,Neurology,COMT,,100MG oral,Once or twice daily,Indefinite (lifelong maintenance),TOLCAPONE,0.0
Tolterodine Tartrate,DETROL,Neurological disorder,Neurology,CHRM3 | CHRM2,0.00,2MG oral,Once or twice daily,Indefinite (lifelong maintenance),TOLTERODINE TARTRATE,2.78
Tolvaptan,JYNARQUE,Cardiovascular disease,Cardiovascular,AVPR2,0.24,30MG oral,Once or twice daily,Indefinite (lifelong maintenance),TOLVAPTAN,243.01
Topiramate,EPRONTIA,Hypertension; Heart failure; Diabetic nephropathy,Psychiatric,CA2 | CA4 | GRIA4 | GRIK1 | GABRA1 | SCN1A,0.22,200MG oral,Once or twice daily,Indefinite (lifelong maintenance),TOPIRAMATE,216.08
Topotecan Hydrochloride,HYCAMTIN,Cancer,Oncology,TOP1,0.00,4MG BASE/4ML (1MG BASE/mL) IV,As directed,Long-term (until progression / disease control),TOPOTECAN HYDROCHLORIDE,2.47
Torsemide,SOAANZ,Cardiovascular disease,Cardiovascular,SLC12A1,0.01,40MG oral,Once or twice daily,Indefinite (lifelong maintenance),TORSEMIDE,9.5
Tovorafenib,OJEMDA,Cancer,Oncology,RAF1,,100MG oral,Once or twice daily,Long-term (until progression / disease control),TOVORAFENIB,0.0
Trametinib Dimethyl Sulfoxide,MEKINIST,Cancer,Oncology,MAP2K2 | MAP2K1,0.11,2MG oral,Once or twice daily,Long-term (until progression / disease control),TRAMETINIB DIMETHYL SULFOXIDE,107.03
Trandolapril,TRANDOLAPRIL,Hypertension; Heart failure; CKD,Cardiovascular,ACE,,1MG oral,Once or twice daily,Indefinite (lifelong maintenance),TRANDOLAPRIL,0.0
Trandolapril; Verapamil Hydrochloride,TRANDOLAPRIL AND VERAPAMIL HYDROCHLORIDE,Hypertension; Heart failure; CKD,Cardiovascular,ACE | CACNA1C,,1MG; 240MG oral,Once daily,Indefinite (lifelong maintenance),TRANDOLAPRIL; VERAPAMIL HYDROCHLORIDE,0.0
Travoprost,IDOSE TR,Ophthalmic disorder,Ophthalmology,PTGFR,0.01,0.004% ophthalmic,Once daily,Indefinite (lifelong maintenance),TRAVOPROST,13.59
Trazodone Hydrochloride,RALDESY,Migraine (acute),Psychiatric,SLC6A4 | HTR2A | HTR2C,0.17,10MG/mL oral,Once or twice daily,Indefinite (lifelong maintenance),TRAZODONE HYDROCHLORIDE,168.77
Treprostinil,REMODULIN,Cardiovascular disease,Cardiovascular,PTGIR,0.38,0.6MG/mL inh,As directed,Indefinite (lifelong maintenance),TREPROSTINIL,375.66
Treprostinil Diolamine,ORENITRAM,Cardiovascular disease,Cardiovascular,PTGIR,0.11,5MG BASE oral,Once daily,Indefinite (lifelong maintenance),TREPROSTINIL DIOLAMINE,106.37
Treprostinil Sodium,YUTREPIA,Cardiovascular disease,Cardiovascular,PTGIR,,0.106MG BASE//inh inh,Once daily,Indefinite (lifelong maintenance),TREPROSTINIL SODIUM,0.0
Tretinoin,ALTRENO,Acne; Psoriasis; Photoageing,Dermatology,RARG,0.15,0.05% topical,Once or twice daily,Indefinite (lifelong maintenance),TRETINOIN,151.32
Triamcinolone Acetonide,KENALOG-10,Respiratory disease,Respiratory,NR3C1,0.03,40MG/mL,As directed,Indefinite (lifelong maintenance),TRIAMCINOLONE ACETONIDE,30.14
Trientine Hydrochloride,SYPRINE,Chronic condition,Other,Copper chelating agent,0.01,250MG oral,Once or twice daily,Indefinite (lifelong maintenance),TRIENTINE HYDROCHLORIDE,9.1
Trientine Tetrahydrochloride,CUVRIOR,Chronic condition,Other,Copper chelating agent,,300MG oral,Once or twice daily,Indefinite (lifelong maintenance),TRIENTINE TETRAHYDROCHLORIDE,0.0
Trifluoperazine Hydrochloride,TRIFLUOPERAZINE HYDROCHLORIDE,Schizophrenia; Bipolar disorder; Nausea,Psychiatric,HTR2A | HTR2C | DRD2,,1MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),TRIFLUOPERAZINE HYDROCHLORIDE,0.0
Trilaciclib Dihydrochloride,COSELA,Breast cancer (HR+/HER2-),Oncology,CDK6 | CDK4,0.01,300MG BASE/VIAL IV,Once daily,Long-term (until progression / disease control),TRILACICLIB DIHYDROCHLORIDE,6.18
Trimipramine Maleate,TRIMIPRAMINE MALEATE,Schizophrenia; Bipolar disorder; Nausea,Psychiatric,HRH1 | DRD2 | HTR2A | HTR2C | SLC6A2 | ADRA1A,,25MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),TRIMIPRAMINE MALEATE,0.0
Triptorelin Pamoate,TRELSTAR,Cancer,Oncology,GNRHR,0.00,22.5MG BASE/VIAL,Monthly or quarterly,Long-term (until progression / disease control),TRIPTORELIN PAMOATE,2.54
Trospium Chloride,TROSPIUM CHLORIDE,Neurological disorder,Neurology,CHRM3 | CHRM2,0.00,60MG oral,Once daily,Indefinite (lifelong maintenance),TROSPIUM CHLORIDE,4.97
Trospium Chloride; Xanomeline Tartrate,COBENFY,Neurological disorder,Neurology,CHRM3 | CHRM2 | CHRM4 | CHRM1,,30MG; 125MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),TROSPIUM CHLORIDE; XANOMELINE TARTRATE,0.0
Tucatinib,TUKYSA,Cancer,Oncology,ERBB2,0.07,150MG oral,Once or twice daily,Long-term (until progression / disease control),TUCATINIB,69.51
Umeclidinium Bromide,INCRUSE ELLIPTA,Respiratory disease,Respiratory,CHRM3,,0.0625MG BASE//inh inh,Once daily,Indefinite (lifelong maintenance),UMECLIDINIUM BROMIDE,0.0
Umeclidinium Bromide; Vilanterol Trifenatate,ANORO ELLIPTA,Asthma; COPD,Respiratory,CHRM3 | ADRB2,,0.0625MG BASE//inh; 0.025MG BASE//inh inh,Once daily,Indefinite (lifelong maintenance),UMECLIDINIUM BROMIDE; VILANTEROL TRIFENATATE,0.0
Upadacitinib,RINVOQ,Autoimmune disease,Autoimmune,,0.73,45MG oral,Once daily,Indefinite (lifelong maintenance),UPADACITINIB,725.08
Ursodiol,ACTIGALL,Primary biliary cholangitis; Gallstones,GI,NR1H4,0.03,300MG oral,Once or twice daily,Indefinite (lifelong maintenance),URSODIOL,26.52
Valbenazine Tosylate,INGREZZA,Neurological disorder,Neurology,SLC18A2,0.98,80MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),VALBENAZINE TOSYLATE,977.94
Valproic Acid,VALPROIC ACID,Psychiatric disorder,Psychiatric,ALDH5A1,0.01,250MG oral,Once or twice daily,Indefinite (lifelong maintenance),VALPROIC ACID,14.84
Valsartan,DIOVAN,Cardiovascular disease,Cardiovascular,AGTR1,0.04,320MG oral,Once or twice daily,Indefinite (lifelong maintenance),VALSARTAN,36.27
Vandetanib,CAPRELSA,Non-small cell lung cancer (EGFR+),Oncology,SRC | PTK6 | TEK | FLT1 | RET | EPHA2 | ERBB2,0.00,300MG oral,Once or twice daily,Long-term (until progression / disease control),VANDETANIB,0.16
Vardenafil Hydrochloride,VARDENAFIL HYDROCHLORIDE,Cardiovascular disease,Cardiovascular,PDE5A,,10MG oral,Once daily,Indefinite (lifelong maintenance),VARDENAFIL HYDROCHLORIDE,0.0
Vemurafenib,ZELBORAF,Cancer,Oncology,BRAF,0.00,240MG oral,Once or twice daily,Long-term (until progression / disease control),VEMURAFENIB,3.82
Venetoclax,VENCLEXTA,CLL; AML,Oncology,BCL2,0.08,100MG oral,Once or twice daily,Long-term (until progression / disease control),VENETOCLAX,78.71
Venlafaxine Besylate,VENLAFAXINE BESYLATE,Psychiatric disorder,Psychiatric,Unknown,,112.5MG BASE oral,Once daily,Indefinite (lifelong maintenance),VENLAFAXINE BESYLATE,0.0
Venlafaxine Hydrochloride,EFFEXOR XR,Psychiatric disorder,Psychiatric,SLC6A4 | SLC6A2,0.01,225MG BASE oral,Once daily,Indefinite (lifelong maintenance),VENLAFAXINE HYDROCHLORIDE,6.63
Verapamil Hydrochloride,VERAPAMIL HYDROCHLORIDE,Hypertension; Angina,Cardiovascular,CACNA1C,0.02,300MG oral,Once daily,Indefinite (lifelong maintenance),VERAPAMIL HYDROCHLORIDE,24.1
Vibegron,GEMTESA,Overactive bladder,Neurology,ADRB3,0.05,75MG oral,Once or twice daily,Indefinite (lifelong maintenance),VIBEGRON,47.6
Vigabatrin,SABRIL,Neurological disorder,Neurology,ABAT,0.50,500MG oral,Once or twice daily,Indefinite (lifelong maintenance),VIGABATRIN,500.61
Vilazodone Hydrochloride,VIIBRYD,Generalized anxiety disorder,Psychiatric,SLC6A4 | HTR1A,0.08,40MG oral,Once or twice daily,Indefinite (lifelong maintenance),VILAZODONE HYDROCHLORIDE,79.17
Viloxazine Hydrochloride,QELBREE,Psychiatric disorder,Psychiatric,SLC6A2,0.21,200MG BASE oral,Once daily,Indefinite (lifelong maintenance),VILOXAZINE HYDROCHLORIDE,213.14
Vimseltinib,ROMVIMZA,Cancer,Oncology,,,30MG oral,Once or twice daily,Long-term (until progression / disease control),VIMSELTINIB,0.0
Vinorelbine Tartrate,VINORELBINE TARTRATE,Cancer,Oncology,TUBB4B,,10MG BASE/mL,As directed,Long-term (until progression / disease control),VINORELBINE TARTRATE,0.0
Vismodegib,ERIVEDGE,Cancer,Oncology,SMO,0.04,150MG oral,Once or twice daily,Long-term (until progression / disease control),VISMODEGIB,37.6
Vorinostat,ZOLINZA,Haematological malignancies,Oncology,HDAC1 | HDAC3 | HDAC6 | HDAC2,0.00,100MG oral,Once or twice daily,Long-term (until progression / disease control),VORINOSTAT,0.45
Vortioxetine Hydrobromide,TRINTELLIX,Migraine (acute),Psychiatric,HTR1A | SLC6A4 | HTR3A,0.41,20MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),VORTIOXETINE HYDROBROMIDE,412.64
Warfarin Sodium,JANTOVEN,Cardiovascular disease,Cardiovascular,VKORC1,0.01,1MG oral,Once or twice daily,Indefinite (lifelong maintenance),WARFARIN SODIUM,13.12
Zafirlukast,ACCOLATE,Respiratory disease,Respiratory,CYSLTR1,,20MG oral,Once or twice daily,Indefinite (lifelong maintenance),ZAFIRLUKAST,0.0
Zanubrutinib,BRUKINSA,B-cell malignancies (CLL/MCL),Oncology,BTK,0.04,160MG oral,Once or twice daily,Long-term (until progression / disease control),ZANUBRUTINIB,41.45
Zileuton,ZILEUTON,Respiratory disease,Respiratory,ALOX5,0.01,600MG oral,Once daily,Indefinite (lifelong maintenance),ZILEUTON,10.39
Zinc Acetate,GALZIN,Chronic condition,Other,Skin protectant; Blocks absorption of copper and i,0.00,50MG ZINC oral,Once or twice daily,Indefinite (lifelong maintenance),ZINC ACETATE,0.41
Zinc Chloride,ZINC CHLORIDE,Metabolic disorder,Metabolic,,,1MG ZINC/mL,As directed,Indefinite (lifelong maintenance),ZINC CHLORIDE,0.0
Zinc Sulfate,ZINC SULFATE,Metabolic disorder,Metabolic,,,30MG BASE/10ML (3MG BASE/mL) IV,As directed,Indefinite (lifelong maintenance),ZINC SULFATE,0.0
Ziprasidone Hydrochloride,GEODON,Schizophrenia; Bipolar disorder; Nausea,Psychiatric,HTR2A | HTR2C | DRD2,,80MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),ZIPRASIDONE HYDROCHLORIDE,0.0
Ziprasidone Mesylate,GEODON,Schizophrenia; Bipolar disorder; Nausea,Psychiatric,HTR2A | HTR2C | DRD2,0.00,20MG BASE/VIAL,Once daily,Indefinite (lifelong maintenance),ZIPRASIDONE MESYLATE,2.85
Zoledronic Acid,RECLAST,Metabolic disorder,Metabolic,FDPS,0.01,4MG BASE/100ML IV,As directed,Indefinite (lifelong maintenance),ZOLEDRONIC ACID,12.62
Zongertinib,HERNEXEOS,Cancer,Oncology,,,60MG oral,Once or twice daily,Long-term (until progression / disease control),ZONGERTINIB,0.0
Zonisamide,ZONEGRAN,Neurological disorder,Neurology,SCN1A,0.04,100MG/5ML oral,Once or twice daily,Indefinite (lifelong maintenance),ZONISAMIDE,39.27
