Drug,Brand,Disease / Indication,Category,Drug Modality,Target,Revenue ($B),Dose,Frequency,Duration
Treprostinil,REMODULIN,Hypertension; Pulmonary arterial hypertension,Cardiovascular / Pulmonary,chemical,PTGIR,0.38,0.6MG/mL inh,As directed,Indefinite (lifelong maintenance)
Treprostinil Diolamine,ORENITRAM,Hypertension; Pulmonary arterial hypertension,Cardiovascular / Pulmonary,chemical,PTGIR,0.11,5MG BASE oral,Once daily,Indefinite (lifelong maintenance)
Treprostinil Sodium,YUTREPIA,Hypertension; Pulmonary arterial hypertension,Cardiovascular / Pulmonary,chemical,PTGIR,,0.106MG BASE//inh inh,Once daily,Indefinite (lifelong maintenance)
Tretinoin,ALTRENO,Acne; Psoriasis; Photoageing,Autoimmune – Dermatology,chemical,RARG,0.15,0.05% topical,Once or twice daily,Indefinite (lifelong maintenance)
Triamcinolone Acetonide,KENALOG-10,Respiratory disease,Respiratory – Other,chemical,NR3C1,0.03,40MG/mL,As directed,Indefinite (lifelong maintenance)
Trientine Hydrochloride,SYPRINE,Chronic condition,Other,chemical,Copper chelating agent,0.01,250MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Trientine Tetrahydrochloride,CUVRIOR,Chronic condition,Other,chemical,Copper chelating agent,,300MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Trifluoperazine Hydrochloride,TRIFLUOPERAZINE HYDROCHLORIDE,Schizophrenia; Anxiety disorder,Psychiatry – Psychotic,chemical,HTR2A | HTR2C | DRD2,,1MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Trilaciclib Dihydrochloride,COSELA,Small cell lung cancer,Oncology – Solid Tumor,chemical,CDK6 | CDK4,0.01,300MG BASE/VIAL IV,Once daily,Long-term (until progression / disease control)
Trimipramine Maleate,TRIMIPRAMINE MALEATE,Major depressive disorder,Psychiatry – Mood,chemical,HRH1 | DRD2 | HTR2A | HTR2C | SLC6A2 | ADRA1A,,25MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Triptorelin Pamoate,TRELSTAR,Prostate cancer,Oncology – Solid Tumor,protein,GNRHR,0.00,22.5MG BASE/VIAL,Monthly or quarterly,Long-term (until progression / disease control)
Trofinetide,DAYBUE,Rett syndrome,Neurology – Neurodegeneration,chemical,,,200MG/mL oral,Once or twice daily,Indefinite (lifelong maintenance)
Trospium Chloride,TROSPIUM CHLORIDE,Overactive bladder,Urology – Bladder,chemical,CHRM3 | CHRM2,0.00,60MG oral,Once daily,Indefinite (lifelong maintenance)
Trospium Chloride; Xanomeline Tartrate,COBENFY,Schizophrenia,Neurology – Other,chemical,CHRM3 | CHRM2 | CHRM4 | CHRM1,,30MG; 125MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Tucatinib,TUKYSA,Breast cancer,Oncology – Solid Tumor,chemical,ERBB2,0.07,150MG oral,Once or twice daily,Long-term (until progression / disease control)
Umeclidinium Bromide,INCRUSE ELLIPTA,COPD,Respiratory – Obstructive,chemical,CHRM3,,0.0625MG BASE//inh inh,Once daily,Indefinite (lifelong maintenance)
Umeclidinium Bromide; Vilanterol Trifenatate,ANORO ELLIPTA,COPD,Respiratory – Obstructive,chemical,CHRM3 | ADRB2,,0.0625MG BASE//inh; 0.025MG BASE//inh inh,Once daily,Indefinite (lifelong maintenance)
Upadacitinib,RINVOQ,Rheumatoid arthritis,Autoimmune – Rheumatology,chemical,,0.73,45MG oral,Once daily,Indefinite (lifelong maintenance)
Ursodiol,ACTIGALL,Primary biliary cholangitis; Gallstones,Gastroenterology – Hepatic,chemical,NR1H4,0.03,300MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Valbenazine Tosylate,INGREZZA,Tardive dyskinesia; Huntington's disease,Neurology – Movement Disorder,chemical,SLC18A2,0.98,80MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Valproic Acid,VALPROIC ACID,Epilepsy / seizures,Psychiatry – Other,chemical,ALDH5A1,0.01,250MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Valsartan,DIOVAN,Heart failure,Cardiovascular – Heart Failure,chemical,AGTR1,0.04,320MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Vandetanib,CAPRELSA,Thyroid cancer,Oncology – Solid Tumor,chemical,SRC | PTK6 | TEK | FLT1 | RET | EPHA2 | ERBB2,0.00,300MG oral,Once or twice daily,Long-term (until progression / disease control)
Vardenafil Hydrochloride,VARDENAFIL HYDROCHLORIDE,Cardiovascular disease,Cardiovascular – Other,chemical,PDE5A,,10MG oral,Once daily,Indefinite (lifelong maintenance)
Vemurafenib,ZELBORAF,Cancer,Oncology – Solid Tumor,chemical,BRAF,0.00,240MG oral,Once or twice daily,Long-term (until progression / disease control)
Venetoclax,VENCLEXTA,CLL; AML,Oncology – Solid Tumor,chemical,BCL2,0.08,100MG oral,Once or twice daily,Long-term (until progression / disease control)
Venlafaxine Besylate,VENLAFAXINE BESYLATE,Psychiatric disorder,Psychiatry – Other,chemical,Unknown,,112.5MG BASE oral,Once daily,Indefinite (lifelong maintenance)
Venlafaxine Hydrochloride,EFFEXOR XR,Psychiatric disorder,Psychiatry – Other,chemical,SLC6A4 | SLC6A2,0.01,225MG BASE oral,Once daily,Indefinite (lifelong maintenance)
Verapamil Hydrochloride,VERAPAMIL HYDROCHLORIDE,Hypertension; Angina,Cardiovascular – Ischemic,chemical,CACNA1C,0.02,300MG oral,Once daily,Indefinite (lifelong maintenance)
Vibegron,GEMTESA,Overactive bladder,Urology – Bladder,chemical,ADRB3,0.05,75MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Vigabatrin,SABRIL,Neurological disorder,Neurology – Other,chemical,ABAT,0.50,500MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Vilazodone Hydrochloride,VIIBRYD,Generalized anxiety disorder,Psychiatry – Anxiety,chemical,SLC6A4 | HTR1A,0.08,40MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Viloxazine Hydrochloride,QELBREE,Psychiatric disorder,Psychiatry – Other,chemical,SLC6A2,0.21,200MG BASE oral,Once daily,Indefinite (lifelong maintenance)
Vimseltinib,ROMVIMZA,Cancer,Oncology – Solid Tumor,chemical,,,30MG oral,Once or twice daily,Long-term (until progression / disease control)
Vinorelbine Tartrate,VINORELBINE TARTRATE,Cancer,Oncology – Solid Tumor,chemical,TUBB4B,,10MG BASE/mL,As directed,Long-term (until progression / disease control)
Vismodegib,ERIVEDGE,Cancer,Oncology – Solid Tumor,chemical,SMO,0.04,150MG oral,Once or twice daily,Long-term (until progression / disease control)
Vorinostat,ZOLINZA,Haematological malignancies,Oncology – Solid Tumor,chemical,HDAC1 | HDAC3 | HDAC6 | HDAC2,0.00,100MG oral,Once or twice daily,Long-term (until progression / disease control)
Vortioxetine Hydrobromide,TRINTELLIX,Migraine (acute),Psychiatry – Other,chemical,HTR1A | SLC6A4 | HTR3A,0.41,20MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Vosoritide,VOXZOGO,Achondroplasia,Endocrinology – Growth,protein,NPR2,,1.2MG/VIAL SC,Weekly or as directed,Indefinite (lifelong maintenance)
Warfarin Sodium,JANTOVEN,Cardiovascular disease,Cardiovascular – Other,chemical,VKORC1,0.01,1MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Zafirlukast,ACCOLATE,Respiratory disease,Respiratory – Other,chemical,CYSLTR1,,20MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Zanubrutinib,BRUKINSA,B-cell malignancies (CLL/MCL),Oncology – Solid Tumor,chemical,BTK,0.04,160MG oral,Once or twice daily,Long-term (until progression / disease control)
Ziconotide Acetate,PRIALT,Chronic pain,Pain – Chronic,protein,CACNA1B,,500MCG/5ML intrathecal,Continuous infusion,Indefinite (lifelong maintenance)
Zileuton,ZILEUTON,Respiratory disease,Respiratory – Other,chemical,ALOX5,0.01,600MG oral,Once daily,Indefinite (lifelong maintenance)
Zinc Acetate,GALZIN,Chronic condition,Other,chemical,Skin protectant; Blocks absorption of copper and i,0.00,50MG ZINC oral,Once or twice daily,Indefinite (lifelong maintenance)
Zinc Chloride,ZINC CHLORIDE,Metabolic disorder,Endocrinology – Metabolic,chemical,,,1MG ZINC/mL,As directed,Indefinite (lifelong maintenance)
Zinc Sulfate,ZINC SULFATE,Metabolic disorder,Endocrinology – Metabolic,mixture,,,30MG BASE/10ML (3MG BASE/mL) IV,As directed,Indefinite (lifelong maintenance)
Ziprasidone Hydrochloride,GEODON,Schizophrenia; Bipolar disorder; Nausea,Psychiatry – Psychotic,chemical,HTR2A | HTR2C | DRD2,,80MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Ziprasidone Mesylate,GEODON,Schizophrenia; Bipolar disorder; Nausea,Psychiatry – Psychotic,chemical,HTR2A | HTR2C | DRD2,0.00,20MG BASE/VIAL,Once daily,Indefinite (lifelong maintenance)
Zoledronic Acid,RECLAST,Metabolic disorder,Endocrinology – Metabolic,chemical,FDPS,0.01,4MG BASE/100ML IV,As directed,Indefinite (lifelong maintenance)
Zongertinib,HERNEXEOS,Cancer,Oncology – Solid Tumor,chemical,,,60MG oral,Once or twice daily,Long-term (until progression / disease control)
Zonisamide,ZONEGRAN,Neurological disorder,Neurology – Other,chemical,SCN1A,0.04,100MG/5ML oral,Once or twice daily,Indefinite (lifelong maintenance)
