Drug,Matched_Query,Source,N_Indications,Indications_Parsed,Label_Indication_Text
Furosemide,openfda.generic_name=Furosemide,openFDA label,2,Heart failure; Hypertension,"INDICATIONS AND USAGE Edema Furosemide tablets are indicated in adults and pediatric patients for the treatment of edema associated with congestive heart failure, cirrhosis of the liver, and renal disease, including the nephrotic syndrome. Furosemide tablets are particularly useful when an agent with greater diuretic potential is desired. Hypertension Oral furosemide may be used in adults for the treatment of hypertension alone or in combination with other antihypertensive agents. Hypertensive patients who cannot be adequately controlled with thiazides will probably also not be adequately cont"
Futibatinib,openfda.generic_name=Futibatinib,openFDA label,0,,"LYTGOBI is indicated for the treatment of adult patients with previously treated, unresectable, locally advanced or metastatic intrahepatic cholangiocarcinoma harboring fibroblast growth factor receptor 2 (FGFR2) gene fusions or other rearrangements . This indication is approved under accelerated approval based on overall response rate and duration of response . Continued approval for this indication may be contingent upon verification and description of clinical benefit in a confirmatory trial(s). LYTGOBI is a kinase inhibitor indicated for the treatment of adult patients with previously trea"
Gabapentin,openfda.generic_name=Gabapentin,openFDA label,2,Epilepsy / seizures; Neuropathic pain / fibromyalgia,"Gabapentin Capsules, USP are indicated for: Management of postherpetic neuralgia in adults Adjunctive therapy in the treatment of partial onset seizures, with and without secondary generalization, in adults and pediatric patients 3 years and older with epilepsy Gabapentin Capsules, USP are indicated for Postherpetic neuralgia in adults Adjunctive therapy in the treatment of partial onset seizures, with and without secondary generalization, in adults and pediatric patients 3 years and older with epilepsy"
Gabapentin Enacarbil,openfda.generic_name=Gabapentin Enacarbil,openFDA label,2,Neuropathic pain / fibromyalgia; Restless legs syndrome,HORIZANT is indicated for: treatment of moderate-to-severe primary Restless Legs Syndrome (RLS) in adults. management of postherpetic neuralgia (PHN) in adults. 1.1 Treatment of Restless Legs Syndrome HORIZANT ® is indicated for the treatment of moderate-to-severe primary Restless Legs Syndrome (RLS) in adults. HORIZANT is not recommended for patients who are required to sleep during the daytime and remain awake at night. 1.2 Management of Postherpetic Neuralgia HORIZANT is indicated for the management of postherpetic neuralgia (PHN) in adults.
Galantamine Hydrobromide,openfda.generic_name=Galantamine,openFDA label,1,Alzheimer's disease / dementia,Galantamine hydrobromide extended-release capsules are indicated for the treatment of mild to moderate dementia of the Alzheimer's type. Galantamine hydrobromide is a cholinesterase inhibitor indicated for the treatment of mild to moderate dementia of the Alzheimer’s type
Gefitinib,openfda.generic_name=Gefitinib,openFDA label,2,Non-small cell lung cancer; Small cell lung cancer,Gefitinib tablets are indicated for the first-line treatment of patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have epidermal growth factor receptor (EGFR) exon 19 deletions or exon 21 (L858R) substitution mutations as detected by an FDA-approved test [ see Clinical Studies ]. Limitation of Use: Safety and efficacy of gefitinib tablets have not been established in patients with metastatic NSCLC whose tumors have EGFR mutations other than exon 19 deletions or exon 21 (L858R) substitution mutations [ see Clinical Studies ]. Gefitinib tablets are a tyrosine kinase inhibi
Gemcitabine Hydrochloride,openfda.generic_name=Gemcitabine,openFDA label,2,Breast cancer; Ovarian cancer,"Gemcitabine Injection is a nucleoside metabolic inhibitor indicated: • in combination with carboplatin, for the treatment of advanced ovarian cancer that has relapsed at least 6 months after completion of platinum-based therapy. • in combination with paclitaxel, for first-line treatment of metastatic breast cancer after failure of prior anthracycline-containing adjuvant chemotherapy, unless anthracyclines were clinically contraindicated. • in combination with cisplatin for the treatment of non-small cell lung cancer. • as a single agent for the treatment of pancreatic cancer. 1.1 Ovarian Cance"
Gilteritinib Fumarate,openfda.generic_name=Gilteritinib,openFDA label,1,Acute myeloid leukemia,XOSPATA is a kinase inhibitor indicated for the treatment of adult patients who have relapsed or refractory acute myeloid leukemia (AML) with a FLT3 mutation as detected by an FDA-approved test. 1.1 Relapsed or Refractory Acute Myeloid Leukemia XOSPATA is indicated for the treatment of adult patients who have relapsed or refractory acute myeloid leukemia (AML) with a FMS-like tyrosine kinase 3 (FLT3) mutation as detected by an FDA-approved test.
Glasdegib Maleate,openfda.generic_name=Glasdegib,openFDA label,1,Acute myeloid leukemia,"DAURISMO is indicated, in combination with low-dose cytarabine, for the treatment of newly-diagnosed acute myeloid leukemia (AML) in adult patients who are ≥75 years old or who have comorbidities that preclude use of intensive induction chemotherapy. DAURISMO is a hedgehog pathway inhibitor indicated, in combination with low-dose cytarabine, for the treatment of newly-diagnosed acute myeloid leukemia (AML) in adult patients who are ≥75 years old or who have comorbidities that preclude use of intensive induction chemotherapy."
Glatiramer Acetate,openfda.generic_name=Glatiramer,openFDA label,1,Multiple sclerosis,"Glatopa is indicated for the treatment of relapsing forms of multiple sclerosis (MS), to include clinically isolated syndrome, relapsing-remitting disease, and active secondary progressive disease, in adults. Glatopa is indicated for the treatment of relapsing-forms of multiple sclerosis (MS), to include clinically isolated syndrome, relapsing-remitting disease, and active secondary progressive disease, in adults ."
Glimepiride,openfda.generic_name=Glimepiride,openFDA label,2,Type 2 diabetes; Diabetes mellitus,"Glimepiride tablets are indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus . Limitations of Use Glimepiride tablets should not be used for the treatment of type 1 diabetes mellitus or diabetic ketoacidosis, as it would not be effective in these settings. Glimepiride tablets are a sulfonylurea indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus . Limitations of Use: Not for treating type 1 diabetes mellitus or diabetic ketoacidosis ."
Glimepiride; Pioglitazone Hydrochloride,openfda.brand_name=DUETACT,openFDA label,2,Type 2 diabetes; Diabetes mellitus,"DUETACT is indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus who are already treated with a thiazolidinedione and sulfonylurea or who have inadequate glycemic control on a thiazolidinedione alone or a sulfonylurea alone . Important Limitations of Use Pioglitazone exerts its antihyperglycemic effect only in the presence of endogenous insulin. DUETACT should not be used to treat type 1 diabetes or diabetic ketoacidosis, as it would not be effective in these settings. Use caution in patients with liver disease . DUETACT is a thiazolid"
Glipizide,openfda.generic_name=Glipizide,openFDA label,2,Type 2 diabetes; Diabetes mellitus,INDICATIONS AND USAGE Glipizide Tablets USP are indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus.
Glipizide; Metformin Hydrochloride,openfda.brand_name=GLIPIZIDE AND METFORMIN HYDROCHLORIDE,openFDA label,2,Type 2 diabetes; Diabetes mellitus,INDICATIONS AND USAGE Glipizide and metformin hydrochloride tablets USP are indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus.
Glyburide,openfda.generic_name=Glyburide,openFDA label,2,Type 2 diabetes; Diabetes mellitus,"INDICATIONS AND USAGE Glyburide tablets, USP is indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus."
Glyburide; Metformin Hydrochloride,openfda.brand_name=GLYBURIDE AND METFORMIN HYDROCHLORIDE,openFDA label,2,Type 2 diabetes; Diabetes mellitus,"Glyburide and metformin hydrochloride tablets are indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus. Glyburide and metformin hydrochloride tablets are a combination of glyburide, a sulfonylurea, and metformin hydrochloride (HCl), a biguanide, indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus."
Glycopyrrolate,openfda.generic_name=Glycopyrrolate,openFDA label,1,Peptic ulcer disease,"Glycopyrrolate Injection is an anticholinergic indicated: in anesthesia (adult and pediatric patients) for reduction of salivary, tracheobronchial, and pharyngeal secretions, reduction of volume and acidity of gastric secretions, and blockade of cardiac inhibitory reflexes during induction of anesthesia and intubation. intraoperatively to counteract surgically or drug-induced or vagal reflex-associated arrhythmias. for protection against peripheral muscarinic effects of cholinergic agents. in peptic ulcer (adults) To reduce symptoms of a peptic ulcer as an adjunct to treatment of peptic ulcer "
Glycopyrrolate; Neostigmine Methylsulfate,openfda.brand_name=PREVDUO,openFDA label,0,,"PREVDUO ® , a fixed dose combination of cholinesterase inhibitor and antimuscarinic agent, is indicated in patients age two years and above for the reversal of the effects of nondepolarizing neuromuscular blocking agents (NMBA) after surgery, while decreasing the peripheral muscarinic effects (e.g., bradycardia and excessive secretions) associated with cholinesterase inhibition following NMBA reversal administration. PREVDUO ® , a fixed dose combination of a cholinesterase inhibitor and antimuscarinic agent, is indicated in patients age two years and above for the reversal of the effects of no"
Glycopyrronium Tosylate,openfda.generic_name=Glycopyrronium,openFDA label,0,,Qbrexza is indicated for topical treatment of primary axillary hyperhidrosis in adult and pediatric patients 9 years of age and older. Qbrexza is an anticholinergic indicated for topical treatment of primary axillary hyperhidrosis in adults and pediatric patients 9 years of age and older .
